2019-09-01 12:35:33
Running ./matvec_cuda
Run on (48 X 2494.18 MHz CPU s)
CPU Caches:
  L1 Data 32K (x24)
  L1 Instruction 32K (x24)
  L2 Unified 256K (x24)
  L3 Unified 30720K (x2)
Load Average: 0.60, 0.76, 0.65
-------------------------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations UserCounters...
BM_MDSpan_CUDA_MatVec/right                    64773664 ns     64842426 ns           11 bytes_per_second=114.926G/s
BM_MDSpan_CUDA_MatVec/right                    64748766 ns     64819616 ns           11 bytes_per_second=114.966G/s
BM_MDSpan_CUDA_MatVec/right                    64775087 ns     64845957 ns           11 bytes_per_second=114.92G/s
BM_MDSpan_CUDA_MatVec/right                    64764711 ns     64834789 ns           11 bytes_per_second=114.939G/s
BM_MDSpan_CUDA_MatVec/right                    64750310 ns     64820552 ns           11 bytes_per_second=114.965G/s
BM_MDSpan_CUDA_MatVec/right                    64757041 ns     64827306 ns           11 bytes_per_second=114.953G/s
BM_MDSpan_CUDA_MatVec/right                    64790525 ns     64861422 ns           11 bytes_per_second=114.892G/s
BM_MDSpan_CUDA_MatVec/right                    64729651 ns     64798385 ns           11 bytes_per_second=115.004G/s
BM_MDSpan_CUDA_MatVec/right                    64774516 ns     64843296 ns           11 bytes_per_second=114.924G/s
BM_MDSpan_CUDA_MatVec/right                    64775503 ns     64844409 ns           11 bytes_per_second=114.922G/s
BM_MDSpan_CUDA_MatVec/right                    64789573 ns     64859978 ns           11 bytes_per_second=114.895G/s
BM_MDSpan_CUDA_MatVec/right                    64791314 ns     64861406 ns           11 bytes_per_second=114.892G/s
BM_MDSpan_CUDA_MatVec/right                    64766292 ns     64836482 ns           11 bytes_per_second=114.936G/s
BM_MDSpan_CUDA_MatVec/right                    64765795 ns     64835916 ns           11 bytes_per_second=114.937G/s
BM_MDSpan_CUDA_MatVec/right                    64694632 ns     64764725 ns           11 bytes_per_second=115.064G/s
BM_MDSpan_CUDA_MatVec/right                    64757785 ns     64828637 ns           11 bytes_per_second=114.95G/s
BM_MDSpan_CUDA_MatVec/right                    64765100 ns     64833555 ns           11 bytes_per_second=114.942G/s
BM_MDSpan_CUDA_MatVec/right                    64747908 ns     64816455 ns           11 bytes_per_second=114.972G/s
BM_MDSpan_CUDA_MatVec/right                    64763005 ns     64831589 ns           11 bytes_per_second=114.945G/s
BM_MDSpan_CUDA_MatVec/right_mean               64764741 ns     64834499 ns           50 bytes_per_second=114.94G/s
BM_MDSpan_CUDA_MatVec/right_median             64765293 ns     64834588 ns           50 bytes_per_second=114.94G/s
BM_MDSpan_CUDA_MatVec/right_stddev                19769 ns        19732 ns           50 bytes_per_second=35.8263M/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64792395 ns     64862602 ns           11 bytes_per_second=114.89G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64797284 ns     64868154 ns           11 bytes_per_second=114.88G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64752137 ns     64820909 ns           11 bytes_per_second=114.964G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64805160 ns     64874048 ns           11 bytes_per_second=114.87G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64757317 ns     64826043 ns           11 bytes_per_second=114.955G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64788834 ns     64859727 ns           11 bytes_per_second=114.895G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64761614 ns     64831558 ns           11 bytes_per_second=114.945G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64733409 ns     64803540 ns           11 bytes_per_second=114.995G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64789504 ns     64859758 ns           11 bytes_per_second=114.895G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64761763 ns     64832610 ns           11 bytes_per_second=114.943G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64747586 ns     64818431 ns           11 bytes_per_second=114.968G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64765039 ns     64833751 ns           11 bytes_per_second=114.941G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64787791 ns     64856530 ns           11 bytes_per_second=114.901G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64740623 ns     64809129 ns           11 bytes_per_second=114.985G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64767177 ns     64838048 ns           11 bytes_per_second=114.934G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64777648 ns     64847790 ns           11 bytes_per_second=114.916G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64756772 ns     64826963 ns           11 bytes_per_second=114.953G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64815742 ns     64885971 ns           11 bytes_per_second=114.849G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64784090 ns     64854979 ns           11 bytes_per_second=114.904G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64732378 ns     64803206 ns           11 bytes_per_second=114.995G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64797693 ns     64866375 ns           11 bytes_per_second=114.883G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64756777 ns     64825491 ns           11 bytes_per_second=114.956G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64785719 ns     64854324 ns           11 bytes_per_second=114.905G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64790652 ns     64861552 ns           11 bytes_per_second=114.892G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64771445 ns     64841842 ns           11 bytes_per_second=114.927G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64764519 ns     64834718 ns           11 bytes_per_second=114.94G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64787242 ns     64857386 ns           11 bytes_per_second=114.899G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64733872 ns     64804686 ns           11 bytes_per_second=114.993G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64792705 ns     64861331 ns           11 bytes_per_second=114.892G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64794139 ns     64862745 ns           11 bytes_per_second=114.89G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64753560 ns     64822246 ns           11 bytes_per_second=114.962G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64732320 ns     64801014 ns           11 bytes_per_second=114.999G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64768349 ns     64839224 ns           11 bytes_per_second=114.932G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64766031 ns     64836186 ns           11 bytes_per_second=114.937G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64728273 ns     64798443 ns           11 bytes_per_second=115.004G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64769061 ns     64839300 ns           11 bytes_per_second=114.931G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64751173 ns     64821983 ns           11 bytes_per_second=114.962G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64774334 ns     64843058 ns           11 bytes_per_second=114.925G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64776500 ns     64845322 ns           11 bytes_per_second=114.921G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64793892 ns     64862638 ns           11 bytes_per_second=114.89G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64745550 ns     64814299 ns           11 bytes_per_second=114.976G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64757867 ns     64828250 ns           11 bytes_per_second=114.951G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64758085 ns     64828217 ns           11 bytes_per_second=114.951G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64779424 ns     64849613 ns           11 bytes_per_second=114.913G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64788190 ns     64858285 ns           11 bytes_per_second=114.898G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64756252 ns     64827097 ns           11 bytes_per_second=114.953G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64789040 ns     64857674 ns           11 bytes_per_second=114.899G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64763304 ns     64831945 ns           11 bytes_per_second=114.944G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64752541 ns     64821168 ns           11 bytes_per_second=114.964G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right          64744246 ns     64812846 ns           11 bytes_per_second=114.978G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right_mean     64768740 ns     64838460 ns           50 bytes_per_second=114.933G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right_median   64766604 ns     64837117 ns           50 bytes_per_second=114.935G/s
BM_MDSpan_CUDA_MatVec_Raw_Right/right_stddev      21383 ns        21369 ns           50 bytes_per_second=38.7889M/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6211305 ns      6218025 ns          112 bytes_per_second=1.17037T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6212320 ns      6219111 ns          112 bytes_per_second=1.17017T/s
BM_MDSpan_CUDA_MatVec_Raw_Left/left             6224713 ns      6231524 ns          112 bytes_per_second=1.16784T/s
