2019-09-01 12:39:07
Running ./matvec_openmp
Run on (96 X 2101 MHz CPU s)
CPU Caches:
  L1 Data 32K (x48)
  L1 Instruction 32K (x48)
  L2 Unified 1024K (x48)
  L3 Unified 33792K (x2)
Load Average: 0.00, 0.01, 0.08
***WARNING*** Library was built as DEBUG. Timings may be affected.
---------------------------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations UserCounters...
BM_MDSpan_OpenMP_MatVec/right                   348942997 ns    348110274 ns            2 bytes_per_second=214.072G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   348814222 ns    347981488 ns            2 bytes_per_second=214.151G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   348843548 ns    348011057 ns            2 bytes_per_second=214.133G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349035288 ns    348202077 ns            2 bytes_per_second=214.016G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349813508 ns    348978109 ns            2 bytes_per_second=213.54G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   348987983 ns    348154713 ns            2 bytes_per_second=214.045G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349186718 ns    348353381 ns            2 bytes_per_second=213.923G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349618477 ns    348765261 ns            2 bytes_per_second=213.67G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349711567 ns    348876828 ns            2 bytes_per_second=213.602G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349753240 ns    348918531 ns            2 bytes_per_second=213.576G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349105163 ns    348271749 ns            2 bytes_per_second=213.973G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   350235289 ns    349399200 ns            2 bytes_per_second=213.282G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   348962660 ns    348129728 ns            2 bytes_per_second=214.06G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349537062 ns    348702635 ns            2 bytes_per_second=213.708G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349861382 ns    349026250 ns            2 bytes_per_second=213.51G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349254199 ns    348420422 ns            2 bytes_per_second=213.882G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349048691 ns    348215614 ns            2 bytes_per_second=214.007G/s repeats=1
